,species,n,col.n,empirical_type_raw,empirical_type_curated,extrapolated_type,sd_col,mean_col
1,Aa achalensis,1,0,OM,OM,OM,NA,NA
2,Abarema jupunba,1,1,AM,AM,AM,NA,-2.155160259
3,Abelmoschus esculentus,2,0,AM,AM,AM,NA,NA
4,Abelmoschus manihot,1,0,AM,AM,AM,NA,NA
5,Abies,3,0,EcM,EcM,EcM,NA,NA
6,Abies alba,6,0,EcM,EcM,EcM,NA,NA
7,Abies amabilis,2,0,EcM,EcM,EcM,NA,NA
8,Abies balsamea,7,0,EcM,EcM,EcM,NA,NA
9,Abies balsamea var. phanerolepis,1,0,EcM,EcM,EcM,NA,NA
10,Abies cephalonica,1,0,EcM,EcM,EcM,NA,NA
11,Abies cilicica,2,0,EcM,EcM,EcM,NA,NA
12,Abies concolor,5,0,EcM,EcM,EcM,NA,NA
13,Abies fargesii,3,0,EcM,EcM,EcM,NA,NA
14,Abies firma,5,0,NM-EcM,EcM,EcM,NA,NA
15,Abies fraseri,1,0,EcM,EcM,EcM,NA,NA
16,Abies grandis,4,0,EcM,EcM,EcM,NA,NA
17,Abies holophylla,3,0,EcM,EcM,EcM,NA,NA
18,Abies homolepis,1,0,EcM,EcM,EcM,NA,NA
19,Abies kawakamii,1,0,EcM,EcM,EcM,NA,NA
20,Abies koreana,1,0,EcM,EcM,EcM,NA,NA
21,Abies lasiocarpa,7,0,EcM,EcM,EcM,NA,NA
22,Abies lasiocarpa var. arizonica,1,0,EcM,EcM,EcM,NA,NA
23,Abies magnifica,2,0,EcM,EcM,EcM,NA,NA
24,Abies magnifica var. shastensis,1,0,EcM,EcM,EcM,NA,NA
25,Abies nephrolepis,3,0,EcM,EcM,EcM,NA,NA
26,Abies nordmanniana,7,0,EcM,EcM,EcM,NA,NA
27,Abies numidica,1,0,EcM,EcM,EcM,NA,NA
28,Abies pindrow,3,0,EcM,EcM,EcM,NA,NA
29,Abies pindrow var. brevifolia,1,0,EcM,EcM,EcM,NA,NA
30,Abies pinsapo,1,0,EcM,EcM,EcM,NA,NA
31,Abies procera,2,0,EcM,EcM,EcM,NA,NA
32,Abies sachalinensis,6,0,EcM,EcM,EcM,NA,NA
33,Abies sachalinensis var. mayriana,1,0,EcM,EcM,EcM,NA,NA
34,Abies sachalinensis var. nemorensis,1,0,EcM,EcM,EcM,NA,NA
35,Abies sibirica,15,0,EcM,EcM,EcM,NA,NA
36,Abies veitchii,2,0,EcM,EcM,EcM,NA,NA
37,Abronia maritima,1,0,AM,AM,NM-AM,NA,NA
38,Abronia umbellata,1,0,AM,AM,NM-AM,NA,NA
39,Abrus precatorius,5,4,AM,AM,AM,1.783959967,0.956881547
40,Abutilon,1,0,AM,AM,AM,NA,NA
41,Abutilon ýýhybridum,1,0,AM,AM,AM,NA,NA
42,Abutilon californicum,2,0,AM,AM,AM,NA,NA
43,Abutilon grandifolium,3,3,AM,AM,AM,0.451938558,-3.070759929
44,Abutilon incanum,1,1,AM,AM,AM,NA,-1.872090669
45,Abutilon indicum,8,3,NM-AM,AM,AM,1.350628849,-0.989492134
46,Abutilon indicum subsp. albescens,1,0,AM,,AM,NA,NA
47,Abutilon otocarpum,1,0,AM,AM,AM,NA,NA
48,Abutilon pannosum,2,2,AM,AM,AM,0.419214344,-2.325347254
49,Abutilon theophrasti,4,2,AM,AM,AM,0.901707233,-0.25292896
50,Acacia alata,3,3,AM,AM,EcM-AM,0.990701709,-1.000536973
51,Acacia alleniana,1,0,AM,AM,EcM-AM,NA,NA
52,Acacia ampliceps,1,0,AM,,EcM-AM,NA,NA
53,Acacia ancistrocarpa,1,0,AM,AM,EcM-AM,NA,NA
54,Acacia aneura,5,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
55,Acacia armata,2,0,,,EcM-AM,NA,NA
56,Acacia aulacocarpa,4,1,EcM-AM,EcM-AM,EcM-AM,NA,-3.331686778
57,Acacia auriculiformis,23,4,EcM-AM,EcM-AM,EcM-AM,0.910563037,-0.712903724
58,Acacia bivenosa,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
59,Acacia calligera,12,3,EcM-AM,EcM-AM,EcM-AM,1.769059822,-2.310319613
60,Acacia chisholmii,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
61,Acacia cincinnata,1,0,AM,AM,EcM-AM,NA,NA
62,Acacia cochliacantha,1,0,AM,AM,EcM-AM,NA,NA
63,Acacia concurrens,2,0,AM,AM,EcM-AM,NA,NA
64,Acacia confusa,3,0,NM-AM,,EcM-AM,NA,NA
65,Acacia coriacea,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
66,Acacia cowleana,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
67,Acacia crassicarpa,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
68,Acacia cyclops,1,0,AM,AM,EcM-AM,NA,NA
69,Acacia dealbata,7,2,EcM-AM,EcM-AM,EcM-AM,0.266234134,-0.264292574
70,Acacia decurrens,8,4,EcM-AM,AM,EcM-AM,1.106939346,-0.715619178
71,Acacia difficilis,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
72,Acacia dimidiata,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
73,Acacia dunnii,1,0,AM,AM,EcM-AM,NA,NA
74,Acacia eriopoda,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
75,Acacia extensa,3,3,AM,AM,EcM-AM,0.857830259,-0.64121138
76,Acacia floribunda,2,0,AM,AM,EcM-AM,NA,NA
77,Acacia gonocarpa,2,1,EcM-AM,EcM-AM,EcM-AM,NA,-1.239632275
78,Acacia hemignosta,1,0,AM,AM,EcM-AM,NA,NA
79,Acacia hilliana,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
80,Acacia hippuroides,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
81,Acacia holosericea,13,2,EcM-AM,EcM-AM,EcM-AM,1.758411038,-2.088302409
82,Acacia implexa,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
83,Acacia inaequilatera,1,0,AM,AM,EcM-AM,NA,NA
84,Acacia jamesiana,1,0,AM,AM,EcM-AM,NA,NA
85,Acacia koa,2,1,AM,AM,EcM-AM,NA,-2.873089317
86,Acacia lasiocarpa,1,0,AM,AM,EcM-AM,NA,NA
87,Acacia lateriticola,2,2,AM,AM,EcM-AM,0.065732513,0.498628669
88,Acacia latescens,4,1,EcM-AM,EcM-AM,EcM-AM,NA,-3.331686778
89,Acacia leptocarpa,1,0,AM,,EcM-AM,NA,NA
90,Acacia ligulata,1,1,AM,AM,EcM-AM,NA,-1.992430165
91,Acacia linifolia,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
92,Acacia longifolia subsp. sophorae,3,0,EcM,,EcM-AM,NA,NA
93,Acacia lysiphloia,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
94,Acacia mangium,13,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
95,Acacia mearnsii,4,1,EcM-AM,EcM-AM,EcM-AM,NA,2.295455916
96,Acacia melanoxylon,6,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
97,Acacia mimula,4,1,EcM-AM,EcM-AM,EcM-AM,NA,-2.085643986
98,Acacia minutifolia,1,0,AM,,EcM-AM,NA,NA
99,Acacia mitchellii,3,0,EcM,,EcM-AM,NA,NA
100,Acacia monticola,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
101,Acacia mountfordiae,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
102,Acacia myrtifolia,5,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
103,Acacia notabilis,1,0,,,EcM-AM,NA,NA
104,Acacia obtusifolia,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
105,Acacia oncinocarpa,6,1,EcM-AM,EcM-AM,EcM-AM,NA,-0.627842082
106,Acacia pellita,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
107,Acacia platycarpa,3,0,EcM-AM,AM,EcM-AM,NA,NA
108,Acacia plectocarpa,4,1,ErM-EcM-AM,EcM-AM,EcM-AM,NA,-3.078568279
109,Acacia pravissima,1,0,EcM,,EcM-AM,NA,NA
110,Acacia pulchella,7,3,EcM-AM,EcM-AM,EcM-AM,0.970914382,0.22332863
111,Acacia pycnantha,4,0,EcM-AM,AM,EcM-AM,NA,NA
112,Acacia pyrifolia,3,0,AM,AM,EcM-AM,NA,NA
113,Acacia retinodes,5,0,EcM,,EcM-AM,NA,NA
114,Acacia retivenea,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
115,Acacia rhodoxylon,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
116,Acacia richii,2,0,AM,AM,EcM-AM,NA,NA
117,Acacia rigens,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
118,Acacia rothii,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
119,Acacia rubida,3,0,EcM,,EcM-AM,NA,NA
120,Acacia salicina,4,0,EcM-AM,AM,EcM-AM,NA,NA
121,Acacia saligna,8,2,AM,AM,EcM-AM,0.553419047,-1.28185862
122,Acacia simsii,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
123,Acacia sparsiflora,2,0,EcM,,EcM-AM,NA,NA
124,Acacia spathulifolia,1,0,AM,AM,EcM-AM,NA,NA
125,Acacia spinescens,1,0,AM,AM,EcM-AM,NA,NA
126,Acacia spirorbis,1,0,EcM,,EcM-AM,NA,NA
127,Acacia stenophylla,1,0,AM,AM,EcM-AM,NA,NA
128,Acacia stricta,2,0,EcM-AM,,EcM-AM,NA,NA
129,Acacia suaveolens,3,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
130,Acacia torulosa,5,1,EcM-AM,EcM-AM,EcM-AM,NA,-3.331686778
131,Acacia trachycarpa,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
132,Acacia translucens,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
133,Acacia tropica,1,0,AM,AM,EcM-AM,NA,NA
134,Acacia tumida,2,1,AM,AM,EcM-AM,NA,-2.548906233
135,Acacia ulicifolia,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
136,Acacia urophylla,2,2,AM,AM,EcM-AM,0.08230563,0.287194339
137,Acacia verniciflua,1,0,AM,AM,EcM-AM,NA,NA
138,Acacia verticillata,3,0,EcM,,EcM-AM,NA,NA
139,Acacia yirrkallensis,3,1,AM,AM,EcM-AM,NA,-3.331686778
140,Acaena,7,0,NM-AM,AM,AM,NA,NA
141,Acaena alpina,1,0,AM,AM,AM,NA,NA
142,Acaena glabra,1,0,AM,AM,AM,NA,NA
143,Acaena magellanica,5,2,NM-AM,AM,AM,0.944894664,-2.204947892
144,Acaena minor,1,0,AM,,AM,NA,NA
145,Acaena myriophylla,2,2,AM,AM,AM,1.261140917,-2.186806984
146,Acaena novae-zelandiae,2,0,AM,AM,AM,NA,NA
147,Acaena ovalifolia,1,0,AM,AM,AM,NA,NA
148,Acaena ovina,1,0,AM,AM,AM,NA,NA
149,Acaena pinnatifida,4,0,AM,AM,AM,NA,NA
150,Acaena tenera,1,0,NM,,AM,NA,NA
151,Acalypha australis,2,0,AM,AM,AM,NA,NA
152,Acalypha ciliata,1,0,,,AM,NA,NA
153,Acalypha communis,3,3,AM,AM,AM,0.451938558,-3.070759929
154,Acalypha fruticosa,3,1,NM-AM,AM,AM,NA,-1.823620571
155,Acalypha indica,9,6,AM,AM,AM,0.730230645,-0.236588384
156,Acalypha kerrii,2,0,AM,AM,AM,NA,NA
157,Acalypha lanceolata,2,0,AM,,AM,NA,NA
158,Acalypha ostryifolia,1,1,AM,AM,AM,NA,-2.415478143
159,Acalypha wilkesiana,2,0,NM-AM,,AM,NA,NA
160,Acalypha virginica var. rhomboidea,2,2,AM,AM,AM,0,-0.890532259
161,Acanthaceae,2,0,AM,AM,NA,NA,NA
162,Acanthocarpus preissii,1,0,AM,AM,AM,NA,NA
163,Acanthophyllum elatius,2,2,NM,NM,NM,0,-3.663561646
164,Acanthophyllum korolkowii,1,1,NM,NM,NM,NA,-3.663561646
165,Acanthophyllum krascheninnikovii,1,1,NM,NM,NM,NA,-3.663561646
166,Acanthophyllum squarrosum,1,0,AM,,NM,NA,NA
167,Acanthospermum hispidum,3,2,NM-AM,AM,AM,0.943194423,1.325490993
168,Acanthus ilicifolius,18,13,NM-AM,NM-AM,NM-AM,1.553055809,-0.454278099
169,Acca sellowiana,1,0,AM,AM,AM,NA,NA
170,Acer barbinerve,1,0,EcM,,AM,NA,NA
171,Acer buergerianum,2,1,AM,AM,AM,NA,3.658534285
172,Acer campestre,12,2,NM-EcM-AM,AM,AM,0.252601784,3.479917851
173,Acer cappadocicum,2,1,AM,AM,AM,NA,3.612143662
174,Acer caudatum subsp. ukurundense,1,0,EcM,,AM,NA,NA
175,Acer coriaceifolium,1,1,AM,AM,AM,NA,-0.661089112
176,Acer davidii,2,1,AM,AM,AM,NA,3.658534285
177,Acer elegantulum,1,0,EcM-AM,,AM,NA,NA
178,Acer fabri,2,1,AM,AM,AM,NA,-1.225500008
179,Acer glabrum,1,0,NM,,AM,NA,NA
180,Acer henryi,1,0,AM,,AM,NA,NA
181,Acer linganense,1,0,EcM-AM,,AM,NA,NA
182,Acer mandshuricum,1,0,EcM,,AM,NA,NA
183,Acer miyabei,1,0,AM,,AM,NA,NA
184,Acer monspessulanum,1,0,AM,,AM,NA,NA
185,Acer negundo,12,3,EcM-AM,AM,AM,1.09944865,3.022266983
186,Acer oblongum,1,0,AM,AM,AM,NA,NA
187,Acer oliverianum,1,0,AM,AM,AM,NA,NA
188,Acer palmatum,2,0,AM,AM,AM,NA,NA
189,Acer pauciflorum,1,0,AM,,AM,NA,NA
190,Acer pentapomicum,1,1,AM,AM,AM,NA,3.631102489
191,Acer pictum,5,0,NM-AM,AM,AM,NA,NA
192,Acer platanoides,15,2,NM-EcM-AM,AM,AM,0.05373294,3.620539359
193,Acer platanoides subsp. turkestanicum,1,1,AM,AM,AM,NA,3.468109515
194,Acer pseudoplatanus,38,2,NM-EcM-AM,AM,AM,0.206144511,3.512768103
195,Acer pseudosieboldianum,3,1,NM-AM,AM,AM,NA,3.562158284
196,Acer rubrum,13,5,AM,AM,AM,1.476332558,-0.613671836
197,Acer saccharinum,4,1,AM,AM,AM,NA,3.505969565
198,Acer saccharum,13,7,AM,AM,AM,0.834520616,-0.545956975
199,Acer sino-oblongum,1,0,AM,AM,AM,NA,NA
200,Acer sinopurpurascens,1,0,AM,,AM,NA,NA
201,Acer spicatum,3,1,AM,AM,AM,NA,3.658534285
202,Acer tataricum,3,1,AM,AM,AM,NA,3.582544433
203,Acer tataricum subsp. ginnala,5,1,AM,AM,AM,NA,3.422195348
204,Acer tataricum subsp. semenovii,1,0,AM,AM,AM,NA,NA
205,Acer tegmentosum,2,0,NM-AM,AM,AM,NA,NA
206,Achatocarpus gracilis,1,0,EcM,EcM,EcM-AM,NA,NA
207,Achillea alpina,2,0,AM,AM,AM,NA,NA
208,Achillea clavennae,1,1,AM,AM,AM,NA,-1.603449871
209,Achillea millefolium,51,23,NM-AM,AM,AM,2.228620693,1.645784925
210,Achillea nobilis,2,1,AM,AM,AM,NA,3.223964749
211,Achillea ptarmica,6,2,NM-AM,AM,AM,0.156224934,0.584003317
212,Achillea salicifolia,1,0,AM,AM,AM,NA,NA
213,Achillea tenuifolia,2,1,AM,AM,AM,NA,-0.424250883
214,Achlys triphylla,1,0,AM,AM,AM,NA,NA
215,Achyranthes aspera,22,10,NM-AM,NM-AM,NM-AM,1.423849065,-1.383194543
216,Achyranthes bidentata,3,1,NM-AM,NM-AM,NM-AM,NA,-0.8001193
217,Achyranthes splendens,1,1,NM,NM,NM-AM,NA,-3.663561646
218,Achyrocline satureioides,3,3,AM,AM,AM,1.942905688,-1.855661086
219,Achyrocline tomentosa,2,2,AM,AM,AM,1.261140917,-2.186806984
220,Acianthera pantasmi,1,0,AM,,OM,NA,NA
221,Acianthus caudatus,1,0,OM,OM,OM,NA,NA
222,Acilepis pulneyensis,1,1,AM,AM,NA,NA,0.386645867
223,Acilepis saligna,1,1,AM,AM,NA,NA,0
224,Acinodendron hispidum,1,1,AM,AM,AM,NA,-3.078568279
225,Acmella calva,5,1,NM-AM,AM,AM,NA,0.994115278
226,Acmella paniculata,1,0,AM,,AM,NA,NA
227,Acmella uliginosa,1,1,AM,AM,AM,NA,1.255526161
228,Acmispon brachycarpus,1,1,AM,AM,AM,NA,1.823620571
229,Acmispon subpinnatus,1,1,AM,AM,AM,NA,1.823620571
230,Acoelorrhaphe wrightii,1,0,AM,AM,AM,NA,NA
231,Aconitum anthora,1,1,AM,AM,AM,NA,3.223964749
232,Aconitum chasmanthum,1,1,AM,AM,AM,NA,-1.673184981
233,Aconitum columbianum,1,0,AM,,AM,NA,NA
234,Aconitum delphinifolium,2,0,AM,AM,AM,NA,NA
235,Aconitum firmum,1,0,AM,,AM,NA,NA
236,Aconitum japonicum,1,0,AM,AM,AM,NA,NA
237,Aconitum loczyanum,1,0,AM,AM,AM,NA,NA
238,Aconitum napellus,2,0,NM-AM,,AM,NA,NA
239,Aconitum nasutum,5,4,NM-AM,AM,AM,1.696594196,1.501899059
240,Aconitum pascoi,1,1,AM,AM,AM,NA,-1.497856044
241,Aconitum rotundifolium,2,2,AM,AM,AM,3.004249888,0.712840858
242,Aconitum septentrionale,13,10,AM,AM,AM,1.143905627,2.576218174
243,Aconitum soongaricum,1,0,,,AM,NA,NA
244,Acorus calamus,7,3,NM-AM,NM-AM,NM-AM,3.610397529,-0.682849803
245,Acorus calamus var. angustatus,1,0,NM,NM,NM-AM,NA,NA
246,Acorus gramineus,1,0,NM,NM,NM-AM,NA,NA
247,Acosmium bijugum,1,1,AM,AM,AM,NA,2.873089317
248,Acosmium dasycarpum,1,1,AM,AM,AM,NA,-2.873089317
249,Acrocarpus fraxinifolius,1,0,AM,AM,AM,NA,NA
250,Acronychia acronychioides,1,0,AM,AM,AM,NA,NA
251,Acronychia pedunculata,4,0,AM,AM,AM,NA,NA
252,Acrostichum aureum,8,7,NM-AM,NM-AM,AM,1.935271547,0.008431141
253,Acrothamnus colensoi,1,0,ErM,ErM,ErM,NA,NA
254,Acrotriche serrulata,1,0,ErM,ErM,ErM,NA,NA
255,Actaea japonica,1,0,AM,AM,AM,NA,NA
256,Actaea pachypoda,1,1,AM,AM,AM,NA,1.29504569
257,Actaea rubra,2,1,AM,AM,AM,NA,1.29504569
258,Actaea spicata,11,4,NM-AM,AM,AM,2.036193209,1.857670687
259,Actephila lindleyi,1,0,NM,,uncertain,NA,NA
260,Actinidia arguta,2,1,AM,AM,AM,NA,1.29504569
261,Actinidia chinensis,1,0,AM,AM,AM,NA,NA
262,Actinidia deliciosa,1,0,AM,AM,AM,NA,NA
263,Actinidia kolomikta,1,0,NM,,AM,NA,NA
264,Actinidia polygama,2,0,NM-AM,AM,AM,NA,NA
265,Actiniopteris radiata,4,4,AM,AM,AM,0.368232603,-0.114289001
266,Actinobole condensatum,1,0,AM,AM,AM,NA,NA
267,Actinobole uliginosum,2,0,AM,AM,AM,NA,NA
268,Actinocephalus pachyphyllus,1,1,AM,AM,AM,NA,-3.331686778
269,Actinodaphne henryi,1,1,AM,AM,AM,NA,0.16759116
270,Actinoscirpus grossus,2,1,NM,NM,NM-AM,NA,-3.663561646
271,Actinostachys pennula,1,0,AM,AM,AM,NA,NA
272,Actinostemon concolor,5,4,AM,AM,AM,0.596155432,-1.098197016
273,Actinostrobus acuminatus,1,0,,,AM,NA,NA
274,Actinostrobus pyramidalis,2,0,AM,AM,AM,NA,NA
275,Actinotus helianthi,1,0,AM,AM,AM,NA,NA
276,Actinotus minor,2,0,AM,AM,AM,NA,NA
277,Acystopteris tenuisecta,1,0,AM,AM,AM,NA,NA
278,Adansonia digitata,1,0,AM,AM,AM,NA,NA
279,Adelia brandegeei,2,1,AM,AM,AM,NA,-2.873089317
280,Adenanthera pavonina,7,1,AM,AM,AM,NA,0.756070548
281,Adenanthos barbigerus,2,2,NM,NM,NM,0,-3.663561646
282,Adenium obesum,2,0,AM,AM,AM,NA,NA
283,Adenocaulon bicolor,1,0,AM,AM,AM,NA,NA
284,Adenocaulon chilense,1,0,AM,AM,AM,NA,NA
285,Adenocaulon himalaicum,1,0,AM,AM,AM,NA,NA
286,Adenophora liliifolia,5,5,AM,AM,AM,1.798574851,1.464908404
287,Adenophora remotiflora,1,0,AM,AM,AM,NA,NA
288,Adenophora triphylla,2,0,AM,AM,AM,NA,NA
289,Adenostoma fasciculatum,2,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
290,Adenostyles alliariae,1,0,NM,,uncertain,NA,NA
291,Adesmia,1,0,NM,,AM,NA,NA
292,Adesmia filifolia,1,1,AM,AM,AM,NA,-0.152293669
293,Adesmia longipes,1,0,AM,AM,AM,NA,NA
294,Adesmia retusa,1,0,AM,AM,AM,NA,NA
295,Adesmia tenella,1,1,AM,AM,AM,NA,-1.033015006
296,Adiantum,2,2,AM,AM,AM,0.553509432,-2.940296505
297,Adiantum andicola,4,2,NM-AM,AM,AM,1.674793694,2.479303668
298,Adiantum bonatianum,1,0,AM,AM,AM,NA,NA
299,Adiantum capillus-veneris,9,3,NM-AM,AM,AM,1.097516802,1.825957585
300,Adiantum caudatum,2,1,AM,AM,AM,NA,0.712711386
301,Adiantum chilense var. sulphureum,2,0,AM,AM,AM,NA,NA
302,Adiantum concinnum,1,0,NM,,AM,NA,NA
303,Adiantum cunninghamii,1,1,AM,AM,AM,NA,3.663561646
304,Adiantum diaphanum,1,1,AM,AM,AM,NA,3.663561646
305,Adiantum edgeworthii,2,1,AM,AM,AM,NA,3.663561646
306,Adiantum flabellulatum,3,0,NM-AM,AM,AM,NA,NA
307,Adiantum fulvum,1,1,AM,AM,AM,NA,3.663561646
308,Adiantum hispidulum,5,5,AM,AM,AM,1.439802061,1.222107187
309,Adiantum humile,3,3,AM,AM,AM,0.118633334,-2.941582304
310,Adiantum incisum,4,4,AM,AM,AM,0.254447615,0.843772426
311,Adiantum lunulatum,3,1,AM,AM,AM,NA,0.385857167
312,Adiantum malesianum,1,0,AM,AM,AM,NA,NA
313,Adiantum monochlamys,1,0,AM,AM,AM,NA,NA
314,Adiantum pedatum,5,2,NM-AM,AM,AM,0.556807933,-2.479366651
315,Adiantum poiretii,1,0,NM,,AM,NA,NA
316,Adiantum raddianum,8,8,AM,AM,AM,1.801422462,-0.479893632
317,Adiantum zollingeri,1,1,AM,AM,AM,NA,-0.890992756
318,Adiantum trapeziforme,1,0,NM,,AM,NA,NA
319,Adina cordifolia,1,1,AM,AM,AM,NA,1.033015006
320,Adina trichotoma,1,0,AM,AM,AM,NA,NA
321,Adonis aestivalis,1,1,AM,AM,AM,NA,3.582544433
322,Adonis aestivalis subsp. parviflora,1,1,AM,AM,AM,NA,3.367001922
323,Adonis amurensis,1,0,AM,AM,AM,NA,NA
324,Adonis turkestanica,2,2,AM,AM,AM,0.614229752,0.90786163
325,Adonis vernalis,3,2,AM,AM,AM,0.901897319,2.586227039
326,Adoxa moschatellina,11,5,NM-AM,NM-AM,NM-AM,3.059324714,-1.636773838
327,Aechmea,1,0,NM,,NM,NA,NA
328,Aechmea calyculata,2,0,NM,NM,NM,NA,NA
329,Aechmea caudata,2,0,NM,NM,NM,NA,NA
330,Aechmea nudicaulis,1,0,NM,NM,NM,NA,NA
331,Aechmea recurvata,1,0,NM,NM,NM,NA,NA
332,Aechmea stelligera,1,0,NM,NM,NM,NA,NA
333,Aegialitis rotundifolia,1,0,NM,NM,NM-AM,NA,NA
334,Aegiceras corniculatum,21,13,NM-AM,AM,AM,1.12563342,-1.688800794
335,Aegilops crassa,2,2,AM,AM,AM,0,3.223964749
336,Aegilops cylindrica,2,0,NM,,AM,NA,NA
337,Aegilops juvenalis,1,0,AM,AM,AM,NA,NA
338,Aegilops speltoides,2,0,AM,,AM,NA,NA
339,Aegilops tauschii,3,3,AM,AM,AM,0,-0.417149001
340,Aegilops triuncialis,3,1,NM-AM,AM,AM,NA,-0.417149001
341,Aegiphila sellowiana,3,3,AM,AM,AM,1.150330092,1.328286776
342,Aegiphila verticillata,2,0,AM,AM,AM,NA,NA
343,Aegle marmelos,9,6,AM,AM,AM,1.148476591,0.963563282
344,Aegonychon zollingeri,1,0,AM,AM,NM-AM,NA,NA
345,Aegopodium alpestre,2,2,AM,AM,AM,1.452148418,2.369011647
346,Aegopodium podagraria,29,19,NM-AM,AM,AM,1.751018101,2.579667538
347,Aeluropus lagopoides,3,1,NM,NM,NM-AM,NA,-3.663561646
348,Aeluropus littoralis,2,1,AM,AM,NM-AM,NA,-2.859106405
349,Aeluropus sinensis,2,2,AM,AM,NM-AM,0.218631177,0.78243767
350,Aeonium decorum,1,0,AM,AM,NM-AM,NA,NA
351,Aerva javanica,10,8,NM-AM,NM-AM,NM-AM,0.965749339,-2.652759304
352,Aerva javanica var. bovei,1,0,NM,NM,NM-AM,NA,NA
353,Aerva lanata,6,2,NM,NM,NM-AM,0,-3.663561646
354,Aerva sanguinolenta,1,0,AM,AM,NM-AM,NA,NA
355,Aeschynomene americana,4,4,AM,AM,AM,0.81650255,-2.014989898
356,Aeschynomene aspera,3,1,AM,AM,AM,NA,-0.586231455
357,Aeschynomene indica,5,2,AM,AM,AM,0,-1.29504569
358,Aesculus chinensis,1,0,AM,,AM,NA,NA
359,Aesculus hippocastanum,7,1,NM-AM,AM,AM,NA,3.658534285
360,Aesculus turbinata,1,0,AM,AM,AM,NA,NA
361,Aethionema carneum,1,0,NM,NM,NM,NA,NA
362,Aethionema cordatum,1,0,AM,,NM,NA,NA
363,Aethionema fimbriatum,1,0,NM,NM,NM,NA,NA
364,Aethionema grandiflorum,1,0,AM,,NM,NA,NA
365,Aethionema rotundifolium,1,1,NM,NM,NM,NA,-3.663561646
366,Aethionema saxatile,1,0,NM,NM,NM,NA,NA
367,Aethionema trinervium,1,0,NM,NM,NM,NA,NA
368,Aethionema virgatum,1,0,NM,NM,NM,NA,NA
369,Aethusa cynapium,1,0,AM,,AM,NA,NA
370,Aethusa cynapium subsp. elata,1,1,AM,AM,AM,NA,-0.561501988
371,Aextoxicon punctatum,1,0,ErM,,AM,NA,NA
372,Afrocarpus falcatus,5,0,AM,AM,AM,NA,NA
373,Afrocarpus gracilior,3,1,AM,AM,AM,NA,-0.712711386
374,Afrolimon peregrinum,1,0,NM,NM,NA,NA,NA
375,Afrothismia amietii,1,0,AM,AM,AM,NA,NA
376,Afrothismia baerae,1,0,AM,AM,AM,NA,NA
377,Afrothismia gesnerioides,1,0,AM,AM,AM,NA,NA
378,Afrothismia hydra,1,0,AM,AM,AM,NA,NA
379,Afrothismia insignis,1,0,AM,AM,AM,NA,NA
380,Afrothismia korupensis,1,0,AM,AM,AM,NA,NA
381,Afrothismia mhoroana,1,0,AM,AM,AM,NA,NA
382,Afrothismia saingei,1,0,AM,AM,AM,NA,NA
383,Afrothismia winkleri,1,0,AM,AM,AM,NA,NA
384,Afzelia africana,8,0,NM-EcM-AM,EcM,EcM,NA,NA
385,Afzelia bella,3,0,EcM,EcM,EcM,NA,NA
386,Afzelia bipindensis,5,0,EcM-AM,EcM-AM,EcM,NA,NA
387,Afzelia bracteata,1,0,EcM,EcM,EcM,NA,NA
388,Afzelia pachyloba,2,0,EcM-AM,EcM-AM,EcM,NA,NA
389,Afzelia quanzensis,2,0,EcM,EcM,EcM,NA,NA
390,Afzelia xylocarpa,3,0,EcM,EcM,EcM,NA,NA
391,Aganosma,1,0,AM,AM,AM,NA,NA
392,Agarista revoluta,1,0,AM,,uncertain,NA,NA
393,Agathis australis,5,1,AM,AM,AM,NA,-2.873089317
394,Agathis borneensis,1,0,AM,AM,AM,NA,NA
